Iteration,Inertia Weights,Travel Time,Waiting Time
1,0.2,96.0,72.0
2,0.2,96.0,62.0
3,0.2,96.0,35.0
4,0.2,96.0,35.0
5,0.2,96.0,35.0
6,0.2,96.0,35.0
7,0.2,96.0,35.0
8,0.2,96.0,29.0
9,0.2,96.0,29.0
10,0.2,96.0,29.0
11,0.2,96.0,29.0
12,0.2,96.0,29.0
13,0.2,96.0,29.0
14,0.2,96.0,29.0
15,0.2,96.0,29.0
16,0.2,96.0,29.0
17,0.2,96.0,29.0
18,0.2,96.0,29.0
19,0.2,96.0,29.0
20,0.2,96.0,29.0
21,0.2,96.0,29.0
22,0.2,64.0,29.0
23,0.2,64.0,29.0
24,0.2,64.0,29.0
25,0.2,64.0,29.0
26,0.2,64.0,29.0
27,0.2,64.0,29.0
28,0.2,64.0,29.0
29,0.2,64.0,29.0
30,0.2,64.0,29.0
31,0.2,64.0,29.0
32,0.2,64.0,29.0
33,0.2,64.0,29.0
34,0.2,64.0,29.0
35,0.2,64.0,29.0
36,0.2,64.0,29.0
37,0.2,64.0,29.0
38,0.2,64.0,29.0
39,0.2,64.0,29.0
40,0.2,64.0,29.0
41,0.2,64.0,29.0
42,0.2,64.0,29.0
43,0.2,64.0,29.0
44,0.2,64.0,29.0
45,0.2,64.0,29.0
46,0.2,64.0,29.0
47,0.2,64.0,29.0
48,0.2,64.0,29.0
49,0.2,64.0,29.0
50,0.2,64.0,29.0
51,0.2,64.0,29.0
52,0.2,64.0,29.0
53,0.2,64.0,29.0
54,0.2,64.0,29.0
55,0.2,64.0,29.0
56,0.2,64.0,29.0
57,0.2,64.0,29.0
58,0.2,64.0,29.0
59,0.2,64.0,29.0
60,0.2,64.0,29.0
1,0.4,103.0,51.0
2,0.4,103.0,51.0
3,0.4,86.0,49.0
4,0.4,86.0,49.0
5,0.4,86.0,49.0
6,0.4,86.0,49.0
7,0.4,86.0,47.0
8,0.4,86.0,47.0
9,0.4,86.0,47.0
10,0.4,86.0,47.0
11,0.4,86.0,47.0
12,0.4,86.0,29.0
13,0.4,86.0,29.0
14,0.4,86.0,29.0
15,0.4,86.0,29.0
16,0.4,86.0,29.0
17,0.4,86.0,29.0
18,0.4,86.0,29.0
19,0.4,86.0,29.0
20,0.4,86.0,29.0
21,0.4,86.0,24.0
22,0.4,86.0,24.0
23,0.4,86.0,24.0
24,0.4,86.0,24.0
25,0.4,86.0,24.0
26,0.4,86.0,24.0
27,0.4,86.0,24.0
28,0.4,86.0,24.0
29,0.4,86.0,24.0
30,0.4,86.0,24.0
31,0.4,86.0,24.0
32,0.4,86.0,24.0
33,0.4,79.0,24.0
34,0.4,78.0,24.0
35,0.4,78.0,24.0
36,0.4,78.0,24.0
37,0.4,78.0,24.0
38,0.4,78.0,24.0
39,0.4,78.0,24.0
40,0.4,78.0,24.0
41,0.4,78.0,24.0
42,0.4,78.0,24.0
43,0.4,78.0,24.0
44,0.4,78.0,24.0
45,0.4,78.0,24.0
46,0.4,78.0,24.0
47,0.4,78.0,24.0
48,0.4,78.0,24.0
49,0.4,78.0,24.0
50,0.4,78.0,24.0
51,0.4,78.0,24.0
52,0.4,78.0,24.0
53,0.4,78.0,24.0
54,0.4,78.0,24.0
55,0.4,78.0,24.0
56,0.4,78.0,24.0
57,0.4,78.0,24.0
58,0.4,78.0,24.0
59,0.4,78.0,24.0
60,0.4,78.0,24.0
1,0.6,151.0,49.0
2,0.6,151.0,49.0
3,0.6,145.0,44.0
4,0.6,80.0,44.0
5,0.6,80.0,44.0
6,0.6,80.0,44.0
7,0.6,80.0,44.0
8,0.6,80.0,44.0
9,0.6,80.0,44.0
10,0.6,80.0,44.0
11,0.6,80.0,44.0
12,0.6,80.0,35.0
13,0.6,80.0,32.0
14,0.6,80.0,32.0
15,0.6,80.0,32.0
16,0.6,80.0,32.0
17,0.6,80.0,32.0
18,0.6,80.0,32.0
19,0.6,80.0,32.0
20,0.6,80.0,31.0
21,0.6,80.0,31.0
22,0.6,80.0,31.0
23,0.6,80.0,31.0
24,0.6,80.0,31.0
25,0.6,80.0,31.0
26,0.6,80.0,31.0
