0.8_0.8,0.8_1.6,0.8_2.4,0.8_3.2,0.8_4.0,1.6_0.8,1.6_1.6,1.6_2.4,1.6_3.2,1.6_4.0,2.4_0.8,2.4_1.6,2.4_2.4,2.4_3.2,2.4_4.0,3.2_0.8,3.2_1.6,3.2_2.4,3.2_3.2,3.2_4.0,4.0_0.8,4.0_1.6,4.0_2.4,4.0_3.2,4.0_4.0
126.0,55.0,173.0,51.0,59.0,203.0,73.0,119.0,59.0,83.0,43.0,153.0,104.0,35.0,63.0,137.0,59.0,87.0,73.0,196.0,115.0,87.0,64.0,130.0,93.0
51.0,33.0,55.0,39.0,59.0,153.0,51.0,53.0,29.0,83.0,43.0,153.0,53.0,35.0,47.0,137.0,59.0,87.0,55.0,63.0,99.0,87.0,35.0,74.0,43.0
51.0,33.0,29.0,39.0,47.0,71.0,51.0,53.0,29.0,83.0,43.0,76.0,53.0,35.0,47.0,137.0,59.0,61.0,47.0,63.0,99.0,87.0,35.0,74.0,43.0
51.0,33.0,29.0,39.0,47.0,71.0,51.0,53.0,29.0,83.0,29.0,59.0,51.0,35.0,47.0,137.0,39.0,61.0,47.0,63.0,99.0,37.0,35.0,61.0,37.0
51.0,33.0,29.0,35.0,47.0,69.0,51.0,53.0,29.0,44.0,29.0,59.0,51.0,35.0,33.0,39.0,39.0,61.0,35.0,47.0,75.0,37.0,35.0,54.0,37.0
32.0,33.0,29.0,35.0,47.0,61.0,51.0,53.0,29.0,44.0,29.0,59.0,51.0,35.0,33.0,24.0,39.0,61.0,35.0,47.0,75.0,37.0,35.0,41.0,37.0
32.0,33.0,29.0,35.0,47.0,61.0,51.0,53.0,29.0,44.0,29.0,59.0,41.0,31.0,33.0,24.0,39.0,43.0,35.0,47.0,75.0,37.0,35.0,41.0,37.0
32.0,33.0,29.0,35.0,47.0,39.0,51.0,53.0,29.0,44.0,29.0,59.0,41.0,31.0,33.0,24.0,39.0,43.0,35.0,47.0,63.0,37.0,35.0,41.0,37.0
32.0,33.0,29.0,35.0,47.0,39.0,51.0,53.0,29.0,35.0,29.0,59.0,41.0,31.0,33.0,24.0,39.0,43.0,35.0,47.0,63.0,37.0,35.0,41.0,37.0
32.0,33.0,29.0,31.0,47.0,39.0,43.0,33.0,29.0,35.0,29.0,58.0,41.0,31.0,33.0,24.0,39.0,43.0,35.0,47.0,63.0,37.0,31.0,41.0,37.0
32.0,33.0,29.0,31.0,47.0,39.0,43.0,33.0,29.0,35.0,29.0,58.0,41.0,31.0,31.0,24.0,39.0,43.0,35.0,47.0,63.0,37.0,31.0,41.0,37.0
32.0,33.0,29.0,29.0,47.0,39.0,43.0,33.0,29.0,35.0,29.0,48.0,41.0,31.0,31.0,24.0,39.0,35.0,35.0,47.0,63.0,37.0,31.0,41.0,37.0
32.0,33.0,29.0,29.0,47.0,39.0,43.0,33.0,29.0,35.0,29.0,48.0,41.0,31.0,31.0,24.0,39.0,35.0,35.0,47.0,45.0,37.0,31.0,41.0,35.0
32.0,33.0,29.0,27.0,44.0,39.0,43.0,33.0,29.0,35.0,29.0,29.0,32.0,31.0,31.0,24.0,39.0,35.0,35.0,47.0,45.0,27.0,31.0,41.0,35.0
32.0,33.0,29.0,27.0,44.0,39.0,43.0,33.0,29.0,35.0,29.0,29.0,32.0,31.0,31.0,24.0,39.0,35.0,35.0,47.0,45.0,27.0,31.0,41.0,35.0
31.0,33.0,29.0,27.0,44.0,39.0,43.0,33.0,29.0,35.0,29.0,24.0,32.0,31.0,31.0,24.0,39.0,35.0,35.0,47.0,27.0,27.0,31.0,41.0,35.0
31.0,33.0,29.0,27.0,44.0,39.0,29.0,33.0,29.0,35.0,29.0,24.0,32.0,31.0,31.0,24.0,39.0,35.0,35.0,47.0,27.0,27.0,31.0,41.0,35.0
31.0,33.0,29.0,27.0,35.0,39.0,29.0,33.0,29.0,35.0,27.0,24.0,32.0,31.0,31.0,24.0,39.0,35.0,35.0,47.0,27.0,27.0,31.0,41.0,35.0
31.0,33.0,29.0,27.0,35.0,39.0,29.0,33.0,29.0,35.0,27.0,24.0,32.0,31.0,31.0,24.0,39.0,35.0,35.0,47.0,27.0,27.0,31.0,41.0,35.0
31.0,33.0,29.0,27.0,35.0,39.0,29.0,33.0,29.0,35.0,27.0,24.0,32.0,31.0,31.0,24.0,39.0,35.0,35.0,47.0,27.0,27.0,31.0,41.0,35.0
31.0,33.0,29.0,27.0,35.0,39.0,29.0,33.0,29.0,35.0,27.0,24.0,32.0,31.0,31.0,24.0,39.0,35.0,35.0,47.0,27.0,27.0,31.0,41.0,35.0
31.0,33.0,29.0,27.0,35.0,24.0,29.0,33.0,29.0,35.0,27.0,24.0,32.0,31.0,31.0,24.0,39.0,35.0,35.0,47.0,27.0,27.0,31.0,25.0,35.0
31.0,33.0,29.0,27.0,35.0,24.0,29.0,33.0,29.0,35.0,27.0,24.0,32.0,31.0,31.0,24.0,39.0,35.0,35.0,47.0,27.0,27.0,31.0,25.0,35.0
31.0,33.0,29.0,27.0,35.0,24.0,29.0,33.0,29.0,35.0,27.0,24.0,32.0,31.0,31.0,24.0,39.0,35.0,35.0,47.0,27.0,27.0,31.0,25.0,35.0
31.0,33.0,29.0,27.0,35.0,24.0,29.0,33.0,29.0,35.0,27.0,24.0,32.0,31.0,31.0,24.0,39.0,35.0,27.0,47.0,27.0,27.0,31.0,25.0,35.0
31.0,33.0,29.0,27.0,35.0,24.0,29.0,33.0,29.0,35.0,27.0,24.0,32.0,31.0,31.0,24.0,39.0,35.0,27.0,47.0,27.0,27.0,31.0,25.0,35.0
31.0,33.0,29.0,27.0,35.0,24.0,29.0,27.0,29.0,35.0,27.0,24.0,32.0,31.0,31.0,24.0,39.0,35.0,27.0,47.0,27.0,27.0,31.0,25.0,35.0
31.0,33.0,29.0,27.0,35.0,24.0,29.0,27.0,29.0,35.0,27.0,24.0,32.0,31.0,31.0,24.0,35.0,35.0,27.0,43.0,27.0,27.0,31.0,25.0,35.0
31.0,33.0,29.0,27.0,35.0,24.0,29.0,27.0,29.0,35.0,27.0,24.0,32.0,27.0,31.0,24.0,35.0,35.0,27.0,43.0,27.0,27.0,31.0,25.0,35.0
31.0,33.0,29.0,27.0,35.0,24.0,29.0,27.0,29.0,35.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,35.0,27.0,43.0,27.0,27.0,31.0,25.0,35.0
31.0,33.0,29.0,27.0,35.0,24.0,29.0,27.0,29.0,35.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,35.0,27.0,43.0,27.0,27.0,31.0,25.0,35.0
31.0,33.0,29.0,27.0,35.0,24.0,29.0,27.0,29.0,35.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,35.0,27.0,31.0,27.0,27.0,31.0,25.0,35.0
31.0,33.0,29.0,27.0,35.0,24.0,29.0,27.0,29.0,35.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,31.0,27.0,31.0,27.0,27.0,31.0,25.0,35.0
31.0,33.0,29.0,27.0,35.0,21.0,29.0,27.0,29.0,35.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,31.0,27.0,31.0,27.0,27.0,31.0,25.0,35.0
31.0,33.0,29.0,27.0,35.0,21.0,29.0,27.0,29.0,35.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,31.0,27.0,31.0,27.0,27.0,31.0,25.0,35.0
31.0,33.0,29.0,27.0,35.0,21.0,29.0,27.0,29.0,35.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,31.0,27.0,31.0,27.0,27.0,31.0,25.0,35.0
27.0,31.0,29.0,27.0,35.0,21.0,29.0,27.0,29.0,35.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,31.0,27.0,31.0,27.0,27.0,31.0,25.0,35.0
27.0,31.0,29.0,27.0,35.0,21.0,29.0,27.0,29.0,35.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,31.0,27.0,31.0,27.0,27.0,31.0,25.0,35.0
27.0,31.0,29.0,27.0,35.0,21.0,29.0,27.0,29.0,35.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,31.0,27.0,31.0,27.0,27.0,27.0,25.0,35.0
27.0,31.0,29.0,27.0,35.0,21.0,29.0,27.0,29.0,33.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,31.0,27.0,31.0,27.0,27.0,27.0,25.0,35.0
27.0,31.0,29.0,27.0,35.0,21.0,29.0,27.0,29.0,33.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,31.0,27.0,31.0,27.0,27.0,27.0,25.0,31.0
27.0,31.0,29.0,27.0,35.0,21.0,29.0,27.0,29.0,33.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,31.0,27.0,31.0,27.0,27.0,27.0,25.0,31.0
27.0,31.0,29.0,27.0,35.0,21.0,29.0,27.0,29.0,33.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,31.0,27.0,31.0,27.0,27.0,27.0,25.0,31.0
27.0,31.0,29.0,27.0,35.0,21.0,29.0,27.0,29.0,33.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,31.0,27.0,31.0,27.0,27.0,27.0,25.0,31.0
27.0,31.0,29.0,27.0,35.0,21.0,29.0,27.0,29.0,33.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,31.0,27.0,31.0,27.0,27.0,27.0,25.0,31.0
27.0,31.0,29.0,27.0,35.0,21.0,29.0,27.0,29.0,33.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,31.0,27.0,31.0,27.0,27.0,27.0,25.0,31.0
27.0,31.0,29.0,27.0,35.0,21.0,29.0,27.0,29.0,33.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,31.0,27.0,31.0,27.0,27.0,27.0,25.0,31.0
27.0,31.0,29.0,27.0,35.0,21.0,24.0,27.0,29.0,33.0,27.0,24.0,29.0,27.0,31.0,24.0,35.0,31.0,27.0,31.0,27.0,27.0,27.0,25.0,31.0
